//pass-00012 效果最好
76.836372847 %	0.669573197998
76.836372847 %	0.669573197998
76.836372847 %	0.669573197998
77.2163120567 %	0.654653670708
77.0010131712 %	0.664637235271
76.912360689 %	0.668721503952
76.836372847 %	0.669573197998
77.2163120567 %	0.654653670708
77.0010131712 %	0.664637235271
77.0263424519 %	0.664351349287
77.2163120567 %	0.656778234599
76.912360689 %	0.665684433455
77.0390070922 %	0.661006876806
77.1656534954 %	0.660048200629
77.0896656535 %	0.661006876806
77.1276595745 %	0.661677123685
77.0010131712 %	0.662824541524
77.4316109422 %	0.653394999468
77.0896656535 %	0.664256026616
76.9883485309 %	0.663302046479
76.9250253293 %	0.664922998338
77.1023302938 %	0.666064824591
77.1656534954 %	0.658126658849
77.1023302938 %	0.662537873361
76.9630192503 %	0.665303824828
